key,peak,mean,std,slope_up,height_up,width_up,angle_up,slope_down,height_down,width_down,angle_down,variation,cc_avg,cc_std,peak_avg,peak_std,begin,up_start,max,down_start,end,food_item
1126_2018_219_001,75,71.23333333,2.124199196,0.296956522,9,23,21.37062227,-0.821428571,5,6,39.80557109,12,13.5,12.5,72,3,3,7,30,30,36,189 pizza (Papa johns)
1127_2018_225_000,69.0,64.91666666666667,4.231987975198207,12.0,12.0,1,85.23635830927383,-0.7475490196078431,14.0,16,41.18592516570965,12.0,13.0,12.0,69.0,0.0,3,3,4,10,26,190 pasta (plain)
1128_2018_216_019,67.0,63.69230769230769,1.8557443202792026,1.0,6.0,6,45.0,-0.7999999999999999,5.0,5,45.0,5.0,17.0,0.0,67.0,0.0,3,14,20,21,26,191 Teriyaki Chicken and arugula
0327_2018_100_000,67,63,2.296241989,0.666666667,7,8,41.18592517,-2,2,1,63.43494882,7,8,0,67,0,5,5,13,14,15,192 OatMeal
0328_2018_085_006,75,70,2.732520204,0.549450549,11,12,42.51044708,-2,2,1,63.43494882,14,10,7,71,4,3,11,23,24,25,193 Bagel_Banana_Cereal_Milk
0329_2018_084_008,68,67.31818182,2.140228612,2.1,6,3,63.43494882,-1.085714286,6,5,50.19442891,6,3,0,68,0,2,2,5,18,23,194 Coffee_Bagel
0330_2018_075_020,68,66,1.5,1.2,4,3,53.13010235,-1.4,4,3,53.13010235,4,3,0,68,0,0,0,3,4,7,195 Banana_Bagel_ScrambeledEgg
0401_2018_097_008,63,61,1.414213562,1.5,5,3,59.03624347,-0.7,3,4,36.86989765,5,3,0,63,0,6,6,9,9,13,196 Bagel
0402_2018_103_000,68,64.83333333,2.339278141,3,6,2,71.56505118,-2.5,5,2,68.19859051,6,9,7,66,2,4,4,6,7,9,197 Cereal
0403_2018_082_006,65,62.05882353,2.09959627,0.583916084,8,11,36.02737339,-0.9,4,4,45,8,11,0,65,0,10,10,21,22,26,198 ChocolateCookie_Cereal
0404_2018_096_000,62,59.5,1.224744871,1.2,4,3,53.13010235,-0.8,4,4,45,4,9.333333333,4.921607687,60.66666667,1.247219129,0,0,3,3,7,199 Cereal_Cookie
0406_2018_101_000,69,62.53846154,3.152907928,1.035714286,8,6,53.13010235,-1.885714286,11,5,65.55604522,8,7,4.320493799,65.33333333,2.624669291,0,15,21,22,27,200 Oragne_Oatmeal
0407_2018_105_009,66,62.5,3.041381265,1,5,4,51.34019175,-1.107142857,8,7,48.81407483,12,8,2.828427125,63.66666667,1.699673171,0,10,14,16,23,201 Bagel_Coffee
0411_2018_099_004,70,68.5,1.607275127,1.5,3,2,56.30993247,-4,4,1,75.96375653,4,4.5,1.5,69,1,0,7,9,11,12,202 Coffee_Bagel
0417_2018_101_000,69,66.125,2.847696437,1.5,7,4,60.2551187,-4,8,2,75.96375653,7,5,1,67.5,1.5,0,0,4,5,7,203 Cereal
0418_2018_087_008,64,62.22222222,1.474055462,0.542857143,3,5,30.96375653,-2.5,5,2,68.19859051,3,5,0,64,0,4,4,9,10,12,204 Cereal
0420_2018_096_002,66,62.21428571,3.255293961,1.316666667,10,8,51.34019175,-0.7,3,4,36.86989765,10,8,0,66,0,0,0,8,9,13,205 Begel_Coffee
0423_2018_086_010,68,64.52380952,2.195646073,0.467857143,8,14,29.7448813,-1.142857143,6,5,50.19442891,8,14,0,68,0,0,0,14,15,20,206 Bagel_Coffee
0506_2018_105_010,62,60.6,1.496662955,2,4,2,63.43494882,-2,2,1,63.43494882,4,3,1,62,0,1,1,3,4,5,207 Bagel
0507_2018_101_000,64,61.15384615,1.915369169,7,7,1,81.86989765,-0.372727273,6,10,30.96375653,7,1,0,64,0,3,3,4,5,15,208 Pie
0508_2018_086_004,65,62,2.828427125,1.3,6,4,56.30993247,-2.9,9,3,71.56505118,6,4,0,65,0,0,0,4,4,7,209 Strawberry Smoothie
0509_2018_101_000,70,65.09090909,3.62953905,1.357142857,12,7,59.74356284,-6,6,1,80.53767779,12,7,0,70,0,0,0,7,9,10,210 French Toast
0511_2018_087_008,68,66.8125,2.156929241,1.3,6,4,56.30993247,-1,1,1,45,6,4,0,68,0,2,2,6,16,17,211 French Toast
0514_2018_087_014,67,65.42857143,1.590789818,1.2,4,3,53.13010235,-1,1,1,45,9,3.5,0.5,66,1,3,7,10,12,13,212 Bagel
0515_2018_099_005,68,65.2,2.039607805,3,6,2,71.56505118,-2,4,2,63.43494882,6,5.333333333,2.867441756,66,2.160246899,0,0,2,2,4,213 Bagel
0516_2018_091_009,62,60.5,1.224744871,0.428571429,3,5,30.96375653,-2,4,2,63.43494882,3,5,0,62,0,2,2,7,7,9,214 Bagel
0529_2018_097_006,65,60.6,3.720215048,9,9,1,83.65980825,-3.5,7,2,74.0546041,9,1,0,65,0,1,1,2,3,5,215 Green Juice
0701_2018_089_010,60,57.75,2.086664004,0.7,7,8,41.18592517,-1,1,1,45,7,8,0,60,0,3,3,11,13,14,216 Bread and Egg
0722_2018_097_008,66,64.625,1.316956719,3,3,1,71.56505118,-0.571428571,4,5,38.65980825,3,14.5,13.5,64,2,4,4,5,6,11,217 Omlette and mushroom
0726_2018_080_014,59,57,1.690308509,1.1,5,4,51.34019175,-1,1,1,45,5,4,0,59,0,0,0,4,5,6,218 Oatmeal
